iter	Passed	Remaining
893	42437	5031
894	42478	4983
895	42527	4936
896	42585	4890
897	42639	4843
898	42690	4796
899	42737	4748
900	42790	4701
901	42831	4653
902	42879	4606
903	42923	4558
904	42965	4510
905	43006	4462
906	43058	4415
907	43102	4367
908	43147	4319
909	43198	4272
910	43248	4225
911	43294	4177
912	43345	4130
913	43401	4083
914	43454	4036
915	43514	3990
916	43566	3943
917	43607	3895
918	43653	3847
919	43698	3799
920	43747	3752
921	43792	3704
922	43837	3657
923	43880	3609
924	43935	3562
925	43988	3515
926	44036	3467
927	44077	3419
928	44133	3372
929	44186	3325
930	44235	3278
931	44287	3231
932	44336	3183
933	44385	3136
934	44432	3088
935	44488	3041
936	44528	2993
937	44571	2946
938	44627	2899
939	44675	2851
940	44720	2803
941	44769	2756
942	44810	2708
943	44854	2660
944	44899	2613
945	44953	2566
946	44998	2518
947	45043	2470
948	45088	2423
949	45149	2376
950	45216	2329
951	45277	2282
952	45339	2236
953	45395	2188
954	45442	2141
955	45487	2093
956	45537	2046
957	45596	1998
958	45648	1951
959	45694	1903
960	45751	1856
961	45798	1809
962	45842	1761
963	45887	1713
964	45935	1666
965	45982	1618
966	46041	1571
967	46102	1524
968	46146	1476
969	46189	1428
970	46231	1380
971	46272	1332
972	46320	1285
973	46367	1237
974	46413	1190
975	46459	1142
976	46524	1095
977	46583	1047
978	46633	1000
979	46682	952
980	46722	904
981	46762	857
982	46806	809
983	46848	761
984	46900	714
985	46951	666
986	47001	619
987	47067	571
988	47127	524
989	47181	476
990	47254	429
991	47299	381
992	47341	333
993	47385	286
994	47430	238
995	47474	190
996	47535	143
997	47573	95
998	47626	47
999	47680	0
